procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 316976 111652 6718260    0    0     0 57424 1842 1228 39 12 47  3  0
 3  1      0 262824 111652 6771484    0    0     0 37480 1668 1304 39 12 47  2  0
 1  0      0 430736 111652 6591428    0    0     0 14448 1475 1322 22  7 70  1  0
 1  0      0 419452 111652 6602024    0    0     0     0 1058 1045 22  6 72  0  0
 2  0      0 389716 111652 6642212    0    0     0    24 1384 1220 35  8 57  0  0
 1  0      0 435172 111652 6593332    0    0     0 31596 1265 1257 20  9 69  2  0
 1  0      0 429376 111652 6603372    0    0     0     4 1074 1106 21  6 72  0  0
 1  0      0 421060 111652 6613484    0    0     0    76 1166 1094 21  8 71  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 410476 111652 6623276    0    0     0     0 1082 1092 22  6 72  0  0
 1  0      0 399640 111652 6633308    0    0     0    20 1043 1047 22  6 72  0  0
 3  0      0 362612 111652 6669564    0    0     0   480 1290 1151 32  9 59  0  0
 1  0      0 407520 111656 6624180    0    0     0 31164 1311 1301 23  9 67  2  0
 1  0      0 397440 111656 6633924    0    0     0     4 1123 1137 21  7 72  0  0
 1  0      0 387108 111656 6644032    0    0     0     0 1056 1072 22  5 72  0  0
 1  0      0 376272 111656 6654780    0    0     0     0 1107 1126 20  7 73  0  0
 1  0      0 370020 111656 6664168    0    0     0   356 1306 1177 21  8 71  0  0
 2  0      0 345076 111656 6695312    0    0     0   288 1257 1165 33  9 58  0  0
 6  0      0 328216 111656 6715532    0    0     0 33212 1525 1324 67 15 16  3  0
 6  0      0 224424 111656 6827996    0    0     0     0 1475 1150 84 16  0  0  0
 7  0      0 118612 111656 6928932    0    0     0 100736 3615 1806 82 17  1  1  0
 0  2      0 121940 111648 6928588    0    0     0 222508 4225 2459 56 16 17 11  0
 2  0      0 410056 111648 6641220    0    0     0     4 1953 1076 39 16 45  0  0
 2  0      0 367468 111648 6682140    0    0     0 66168 1411 1410 40  8 47  4  0
 2  0      0 428536 111648 6611544    0    0     0 35236 1386 1262 41 10 47  2  0
 3  0      0 355600 111648 6689836    0    0     0     0 1346 1053 52 14 35  0  0
 2  0      0 383532 111648 6671108    0    0     0 97672 2015 1563 40 13 41  5  0
 2  0      0 334452 111648 6716632    0    0  1666   112 2006 2139 44 12 44  0  0
 2  0      0 295896 111648 6754264    0    0     0 66824 1778 1439 38 12 46  4  0
 2  0      0 251040 111648 6798268    0    0     0     0 1316 1119 42 12 46  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 214500 111648 6835224    0    0     0 66084 2042 1379 37 12 46  4  0
 1  0      0 417004 111648 6622368    0    0  1171  8540 1979 2038 23 10 66  1  0
 2  0      0 386516 111648 6657680    0    0   496   112 1428 1370 34  9 58  0  0
 1  0      0 431968 111648 6612596    0    0     0 31188 1502 1316 24  7 67  2  0
 1  0      0 421388 111648 6622852    0    0     0     0 1105 1049 22  6 72  0  0
 1  0      0 410808 111648 6632612    0    0     0     0 1036 1092 22  6 72  0  0
 1  0      0 399972 111648 6643228    0    0     0    12 1014 1027 21  7 72  0  0
